Restaurant_Name,Rating,Area,Dishes,Amount,Location,Restaurant_Discount,discount_value,final_bill
Brot Company,5.0,Civil Lines,"Bakery, Pan Asian, Continental",1600,jaipur,20,720.00,880.00
Govindam Retreat,4.4,Kanwar Nagar,Multicuisine,700,jaipur,0,0.00,700.00
Spice Court,4.4,Civil Lines,"Multicuisine, Beverages",800,jaipur,10,280.00,520.00
Cafe Auberge,4.8,Civil Lines,Multicuisine,800,jaipur,20,360.00,440.00
Dyore Experiences,3.3,C Scheme,Multicuisine,1800,jaipur,20,810.00,990.00
Havana - Cafe Of Heaven,4.1,Jagatpura,Multicuisine,600,jaipur,0,0.00,600.00
Wunderground - Speakeasy & Chakna Bar,4.0,Gopalbari,"Finger Food, Cocktail Menu",1200,jaipur,15,480.00,720.00
Daniel's Oriental Kitchen,4.0,Gopalbari,oriental,800,jaipur,15,320.00,480.00
Nibs Cafe & Chocolataria,4.4,Gopalbari,Cafe,600,jaipur,20,270.00,330.00
Spice It,3.8,Ibis Hotel,Multicuisine,1600,jaipur,30,880.00,720.00
Wunderland By Townsend,5.0,Gopalbari,Multicuisine,1500,jaipur,25,750.00,750.00
Le Farsan - Rooftop & Cafe,5.0,C Scheme,Indian,1300,jaipur,25,650.00,650.00
Barista Coffee,4.8,C Scheme,"Cafe, Coffee",300,jaipur,40,195.00,105.00
Waraahi,3.6,C Scheme,Multicuisine,1000,jaipur,15,400.00,600.00
Peshawri,4.5,ITC Rajputana Hotel,North West Frontier,4500,jaipur,10,1575.00,2925.00
Little French Home,5.0,Gopalbari,Continental,1200,jaipur,25,600.00,600.00
Vegetrainian - The Train Restaurant,4.1,Lal Kothi,Multicuisine,700,jaipur,45,490.00,210.00
Monarch - World Dining,4.3,Holiday Inn Jaipur City Centre,Multicuisine,2300,jaipur,40,1495.00,805.00
Le Farsan - Thali Restaurant,2.3,C Scheme,Indian,1000,jaipur,10,350.00,650.00
Knighthouse,4.3,C Scheme,"Cocktail Menu, Multicuisine",1700,jaipur,20,765.00,935.00
Chaat Bistro,4.0,Civil Lines,Chaat,800,jaipur,15,320.00,480.00
Farmacy - A Healthy Restaurant By Doctors,5.0,C Scheme,Multicuisine,800,jaipur,15,320.00,480.00
Retreat Drink And Dine,4.3,C Scheme,Multicuisine,1000,jaipur,30,550.00,450.00
Thirsty Camel,5.0,Hathroi,Multicuisine,1600,jaipur,20,720.00,880.00
Café White Sage,4.8,Civil Lines,Multicuisine,1900,jaipur,10,665.00,1235.00
The Colonnade,4.7,Rajmahal Palace,Multicuisine,6000,jaipur,0,1500.00,4500.00
Mamu's Infusion,4.3,C Scheme,Multicuisine,1000,jaipur,15,400.00,600.00
Baramasi,3.7,C Scheme,Multicuisine,1000,jaipur,25,500.00,500.00
Brewvana Coffee House,4.0,C Scheme,"Cafe, Coffee and Tea",1200,jaipur,25,600.00,600.00
Masala Ministry,4.2,C Scheme,"Continental, North Indian",1000,jaipur,40,650.00,350.00
Zarza Club & Terrace,4.1,Bais Godam,Multicuisine,1500,jaipur,55,1200.00,300.00
UP&UP,4.0,Tonk Road,Multicuisine,1200,jaipur,45,840.00,360.00
Veda by Jaipur Coffee Co.,4.0,Hathroi,Multicuisine,1400,jaipur,20,630.00,770.00
Native Cocktail Room,5.0,Hotel Pearl Palace,Multicuisine,2000,jaipur,0,0.00,2000.00
Opera,4.4,C Scheme,"Cafe, Multicuisine",1300,jaipur,25,650.00,650.00
Baari- The House of Fusion,4.0,Gopalbari,Multicuisine,800,jaipur,30,440.00,360.00
Jaipur Modern Kitchen,4.6,C Scheme,"Multicuisine, Beverages",1200,jaipur,25,600.00,600.00
Twenty One Bar & Cafe,4.3,Fairfield by Marriott Jaipur,"Cocktail Menu, Multicuisine",1000,jaipur,35,600.00,400.00
Meraaki Kitchen,4.2,Civil Lines,"North Indian, Italian, Chinese",1000,jaipur,10,350.00,650.00
Sura - Cocktails & Cuisine,4.0,Gopalbari,Multicuisine,2000,jaipur,10,700.00,1300.00
Taverns Lounge and Curry House,5.0,Gopalbari,Multicuisine,1400,jaipur,30,770.00,630.00
Napoli Jaipur,4.5,Ashok Nagar,"Italian, Pizza, Continental",1400,jaipur,10,490.00,910.00
HYPE,4.2,C Scheme,Cocktail Menu,800,jaipur,25,400.00,400.00
Stepout Cafe,4.3,C Scheme,Multicuisine,700,jaipur,20,315.00,385.00
TGIH - Thank God It's Healthy,4.0,Gopalbari,Healthy Food,900,jaipur,25,450.00,450.00
The Yellow House -The Robot Restaurant,3.8,MI Road,"Mexican, Indian, Italian, Chinese",700,jaipur,50,525.00,175.00
Chao - Chinese Bistro,4.4,Holiday Inn Jaipur City Centre,Multicuisine,2500,jaipur,25,1250.00,1250.00
Beans & Buns By Hotel Anuraag Villa,4.0,Bani Park,Multicuisine,1000,jaipur,20,450.00,550.00
Strings-Cocktail Lounge,4.0,C Scheme,"Cocktail Menu, Multicuisine",1600,jaipur,20,720.00,880.00
Z Club,4.0,Tonk Road,Multicuisine,1000,jaipur,50,750.00,250.00
Sipsss,4.5,Gopalbari,Multicuisine,1000,jaipur,15,400.00,600.00
The Night Jar,4.3,MI Road,Multicuisine,800,jaipur,15,320.00,480.00
Brewlicious Rooftop Bar,4.5,C Scheme,"Cocktail Menu, Multicuisine",2000,jaipur,30,1100.00,900.00
Kalyan Rooftop And Indoor Restaurant,4.2,Gopalbari,Multicuisine,600,jaipur,10,210.00,390.00
Palila Cafe & Kitchen,4.0,Gopalbari,Italian,900,jaipur,15,360.00,540.00
Jaipur Pavilion,5.0,ITC Rajputana Hotel,Multicuisine,1800,jaipur,10,630.00,1170.00
Jal Mahal,5.0,ITC Rajputana Hotel,Multicuisine,3300,jaipur,10,1155.00,2145.00
Handi Restaurant,4.2,MI Road,Multicuisine,1200,jaipur,10,420.00,780.00
Sheesh Mahal,4.0,ITC Rajputana Hotel,"Finger Food, Cocktail Menu",2200,jaipur,10,770.00,1430.00
Sirka,4.5,C Scheme,Indian,1300,jaipur,35,780.00,520.00
Kaleidoscope,4.4,C Scheme,Multicuisine,1000,jaipur,20,450.00,550.00
Arth Spaces,4.0,C Scheme,Cafe,900,jaipur,10,315.00,585.00
Nibs Experia,4.3,C Scheme,"Multicuisine, Cafe",700,jaipur,20,315.00,385.00
Darbar Bar By Rajmahal Palace,5.0,Rajmahal Palace,Finger Food,6000,jaipur,0,1500.00,4500.00
Cafe Bae,4.5,Hotel Las Vegas,"Continental, Bakery",1500,jaipur,30,825.00,675.00
Peacock Roof Top Restaurant,4.6,Hotel Pearl Palace,Pan Asian,800,jaipur,0,0.00,800.00
Aurum,4.5,Hilton Jaipur,Multicuisine,3000,jaipur,25,1500.00,1500.00
Merlot & co,5.0,MI Road,"Pan Asian, Continental",2000,jaipur,25,1000.00,1000.00
Roadhouse Bar & Grill,4.5,Holiday Inn Jaipur City Centre,"Burgers, Sandwiches, Finger Food, Italian",2300,jaipur,30,1265.00,1035.00
Carbon,4.4,Ashok Nagar,Coffee,900,jaipur,20,405.00,495.00
Diwali Festive Curations @ ITC Rajputana,4.0,ITC Rajputana Hotel,Mithai,3000,jaipur,0,0.00,3000.00
The Lama,5.0,C Scheme,Multicuisine,800,jaipur,0,0.00,800.00
Lighthouse,4.2,Gopalpura,Multicuisine,1200,jaipur,30,660.00,540.00
House of People (HOP),4.0,Bais Godam,Multicuisine,1700,jaipur,35,1020.00,680.00
Khwaab By Malana,4.8,Tonk Road,Multicuisine,1300,jaipur,20,585.00,715.00
Blackout,3.7,Hotel Golden Oak,Multicuisine,1800,jaipur,50,1350.00,450.00
Kohhee by The Night Jar,5.0,C Scheme,Multicuisine,700,jaipur,10,245.00,455.00
Rasa,5.0,Bani Park,North Indian,2000,jaipur,25,1000.00,1000.00
Diona - Ale Works | Kitchen | Bar,4.4,Shyam Nagar,"Cocktail Menu, Multicuisine",2000,jaipur,20,900.00,1100.00
Kahanee Restaurant,3.5,Bani Park,Multicuisine,1300,jaipur,20,585.00,715.00
B&B - Brew and Brunch,4.8,C Scheme,"Cafe, Coffee",700,jaipur,25,350.00,350.00
Latte Lounge,5.0,Ashok Nagar,Multicuisine,900,jaipur,25,450.00,450.00
Kanha,4.2,C Scheme,Multicuisine,500,jaipur,0,0.00,500.00
Kesar Sweets,5.0,Lal Kothi,"Indian, Continental",700,jaipur,15,280.00,420.00
Pacha,4.0,Sodala,Multicuisine,2000,jaipur,15,800.00,1200.00
Bonkey's,4.4,Jyothi Nagar,Italian,1100,jaipur,10,385.00,715.00
Tea Connect,5.0,C Scheme,Continental,500,jaipur,10,175.00,325.00
