Restaurant_Name,Rating,Area,Dishes,Amount,Discount
Brot Company,5.0,"Civil Lines, Jaipur","Bakery, Pan Asian, Continental",₹ 1600 for two approx.,20% Off + 25% Off
Govindam Retreat,4.4,"Kanwar Nagar, Jaipur",Multicuisine,₹ 700 for two approx.,25% Off
Spice Court,4.4,"Civil Lines, Jaipur","Multicuisine, Beverages",₹ 800 for two approx.,10% Off + 25% Off
Cafe Auberge,4.8,"Civil Lines, Jaipur",Multicuisine,₹ 800 for two approx.,20% Off + 25% Off
Dyore Experiences,3.3,"C Scheme, Jaipur",Multicuisine,₹ 1800 for two approx.,20% Off + 25% Off
Havana - Cafe Of Heaven,4.1,"Jagatpura, Jaipur",Multicuisine,₹ 600 for two approx.,25% Off
Wunderground - Speakeasy & Chakna Bar,4.0,"Gopalbari, Jaipur","Finger Food, Cocktail Menu",₹ 1200 for two approx.,15% Off + 25% Off
Daniel's Oriental Kitchen,4.0,"Gopalbari, Jaipur  | View All(2) Outlets",oriental,₹ 800 for two approx.,15% Off + 25% Off
Nibs Cafe & Chocolataria,4.4,"Gopalbari, Jaipur",Cafe,₹ 600 for two approx.,20% Off + 25% Off
Spice It,3.8,"Ibis Hotel, Jaipur",Multicuisine,₹ 1600 for two approx.,30% Off + 25% Off
Wunderland By Townsend,5.0,"Gopalbari, Jaipur",Multicuisine,₹ 1500 for two approx.,25% Off + 25% Off
Le Farsan - Rooftop & Cafe,5.0,"C Scheme, Jaipur",Indian,₹ 1300 for two approx.,25% Off + 25% Off
Barista Coffee,4.8,"C Scheme, Jaipur  | View All(5) Outlets","Cafe, Coffee",₹ 300 for two approx.,40% Off + 25% Off
Waraahi,3.6,"C Scheme, Jaipur",Multicuisine,₹ 1000 for two approx.,15% Off + 25% Off
Peshawri,4.5,"ITC Rajputana Hotel, Jaipur",North West Frontier,₹ 4500 for two approx.,10% Off + 25% Off
Little French Home,5.0,"Gopalbari, Jaipur",Continental,₹ 1200 for two approx.,25% Off + 25% Off
Vegetrainian - The Train Restaurant,4.1,"Lal Kothi, Jaipur",Multicuisine,₹ 700 for two approx.,45% Off + 25% Off
Monarch - World Dining,4.3,"Holiday Inn Jaipur City Centre, Jaipur",Multicuisine,₹ 2300 for two approx.,40% Off + 25% Off
Le Farsan - Thali Restaurant,2.3,"C Scheme, Jaipur",Indian,₹ 1000 for two approx.,10% Off + 25% Off
Knighthouse,4.3,"C Scheme, Jaipur","Cocktail Menu, Multicuisine",₹ 1700 for two approx.,20% Off + 25% Off
Chaat Bistro,4.0,"Civil Lines, Jaipur",Chaat,₹ 800 for two approx.,15% Off + 25% Off
Farmacy - A Healthy Restaurant By Doctors,5.0,"C Scheme, Jaipur",Multicuisine,₹ 800 for two approx.,15% Off + 25% Off
Retreat Drink And Dine,4.3,"C Scheme, Jaipur",Multicuisine,₹ 1000 for two approx.,30% Off + 25% Off
Thirsty Camel,5.0,"Hathroi, Jaipur",Multicuisine,₹ 1600 for two approx.,20% Off + 25% Off
Café White Sage,4.8,"Civil Lines, Jaipur",Multicuisine,₹ 1900 for two approx.,10% Off + 25% Off
The Colonnade,4.7,"Rajmahal Palace, Jaipur",Multicuisine,₹ 6000 for two approx.,Cover Charge + 25% Off
Mamu's Infusion,4.3,"C Scheme, Jaipur  | View All(5) Outlets",Multicuisine,₹ 1000 for two approx.,15% Off + 25% Off
Baramasi,3.7,"C Scheme, Jaipur",Multicuisine,₹ 1000 for two approx.,25% Off + 25% Off
Brewvana Coffee House,4.0,"C Scheme, Jaipur","Cafe, Coffee and Tea",₹ 1200 for two approx.,25% Off + 25% Off
Masala Ministry,4.2,"C Scheme, Jaipur  | View All(2) Outlets","Continental, North Indian",₹ 1000 for two approx.,40% Off + 25% Off
Zarza Club & Terrace,4.1,"Bais Godam, Jaipur",Multicuisine,₹ 1500 for two approx.,55% Off + 25% Off
UP&UP,4.0,"Tonk Road, Jaipur",Multicuisine,₹ 1200 for two approx.,45% Off + 25% Off
Veda by Jaipur Coffee Co.,4.0,"Hathroi, Jaipur",Multicuisine,₹ 1400 for two approx.,20% Off + 25% Off
